Data,Regiao,Tipo de Problema,Severidade,Resolvido,Acidentes Estimados,Investimento Estimado (R$ Milhoes),Mes
2024-01-01,Vicente Pires,Buracos nas vias,Media,False,4,51,2024-01
2024-01-01,Sao Sebastiao,Buracos nas vias,Alta,False,9,52,2024-01
2024-01-01,Asa Sul,Problemas de drenagem,Media,True,2,106,2024-01
2024-01-01,Aguas Claras,Problemas de drenagem,Media,False,3,109,2024-01
2024-01-01,Asa Sul,Buracos nas vias,Media,False,3,40,2024-01
2024-01-01,Sao Sebastiao,Falta de acessibilidade,Media,False,2,72,2024-01
2024-01-01,Sao Sebastiao,Calcadas esburacadas,Media,False,3,38,2024-01
2024-01-01,Vicente Pires,Buracos nas vias,Baixa,False,2,51,2024-01
2024-01-01,Asa Norte,Buracos nas vias,Baixa,False,1,41,2024-01
2024-01-01,Vicente Pires,Acumulo de lixo em pracas,Alta,False,9,21,2024-01
2024-01-02,Vicente Pires,Falta de acessibilidade,Baixa,False,0,81,2024-01
2024-01-02,Jardim Botanico,Calcadas esburacadas,Alta,False,5,34,2024-01
2024-01-02,Asa Norte,Falta de iluminacao,Baixa,True,0,294,2024-01
2024-01-02,Vicente Pires,Calcadas esburacadas,Media,False,2,39,2024-01
2024-01-02,Sol Nascente,Calcadas esburacadas,Media,False,4,42,2024-01
2024-01-02,Asa Sul,Buracos nas vias,Media,False,4,53,2024-01
2024-01-03,Asa Norte,Problemas de drenagem,Baixa,False,0,90,2024-01
2024-01-03,Sao Sebastiao,Buracos nas vias,Baixa,True,2,55,2024-01
2024-01-03,Vicente Pires,Acumulo de lixo em pracas,Alta,True,10,37,2024-01
2024-01-03,Sol Nascente,Falta de iluminacao,Baixa,True,2,294,2024-01
2024-01-03,Aguas Claras,Problemas de drenagem,Baixa,False,1,103,2024-01
2024-01-03,Asa Norte,Buracos nas vias,Media,False,4,42,2024-01
2024-01-03,Sol Nascente,Problemas de drenagem,Baixa,True,2,98,2024-01
2024-01-03,Sol Nascente,Calcadas esburacadas,Alta,False,7,50,2024-01
2024-01-04,Asa Norte,Falta de sinalizacao,Baixa,True,0,69,2024-01
2024-01-04,Asa Sul,Falta de iluminacao,Alta,True,10,300,2024-01
2024-01-04,Sao Sebastiao,Buracos nas vias,Media,False,2,41,2024-01
2024-01-05,Asa Norte,Calcadas esburacadas,Media,True,2,50,2024-01
2024-01-05,Jardim Botanico,Falta de acessibilidade,Alta,True,9,77,2024-01
2024-01-05,Asa Norte,Calcadas esburacadas,Alta,False,10,49,2024-01
2024-01-05,Asa Sul,Buracos nas vias,Baixa,False,2,49,2024-01
2024-01-05,Jardim Botanico,Falta de sinalizacao,Media,True,3,59,2024-01
2024-01-05,Sao Sebastiao,Falta de iluminacao,Baixa,False,0,295,2024-01
2024-01-06,Asa Norte,Buracos nas vias,Media,True,3,55,2024-01
2024-01-06,Sao Sebastiao,Buracos nas vias,Media,False,4,40,2024-01
2024-01-07,Sao Sebastiao,Falta de iluminacao,Media,False,4,293,2024-01
2024-01-07,Aguas Claras,Buracos nas vias,Media,True,2,43,2024-01
2024-01-07,Sao Sebastiao,Problemas de drenagem,Baixa,False,1,92,2024-01
2024-01-07,Asa Sul,Falta de iluminacao,Media,False,4,296,2024-01
2024-01-07,Asa Norte,Calcadas esburacadas,Baixa,True,1,40,2024-01
2024-01-07,Sol Nascente,Calcadas esburacadas,Media,False,2,35,2024-01
2024-01-07,Vicente Pires,Buracos nas vias,Alta,True,9,42,2024-01
2024-01-07,Sao Sebastiao,Buracos nas vias,Baixa,False,2,58,2024-01
2024-01-07,Asa Norte,Buracos nas vias,Alta,True,10,48,2024-01
2024-01-08,Sol Nascente,Calcadas esburacadas,Media,True,4,48,2024-01
2024-01-08,Asa Sul,Problemas de drenagem,Media,True,3,107,2024-01
2024-01-08,Vicente Pires,Calcadas esburacadas,Baixa,False,1,42,2024-01
2024-01-08,Asa Sul,Calcadas esburacadas,Alta,False,11,50,2024-01
2024-01-08,Asa Sul,Falta de iluminacao,Media,False,3,294,2024-01
2024-01-08,Aguas Claras,Calcadas esburacadas,Media,True,5,45,2024-01
2024-01-08,Sol Nascente,Falta de iluminacao,Baixa,False,2,309,2024-01
2024-01-08,Sol Nascente,Calcadas esburacadas,Media,False,5,42,2024-01
2024-01-08,Vicente Pires,Calcadas esburacadas,Media,False,5,43,2024-01
2024-01-09,Asa Sul,Buracos nas vias,Media,False,3,53,2024-01
